44,Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.,"wa'leS vemlu'pu'DI' ngabpu' 'u' 'e' tu'lu'chugh, vaj QeD 'ay' HaDqa'laHbogh 'oH mI' QeD'e'."
45,I'm tired.,jIDoy'.
46,"If you're tired, why don't you go to sleep? ""Because if I go to sleep now I will wake up too early.""",«bIDoy'chugh chay' bIQongchoHbe'?» «DaH jIQongchoHchugh vaj tlhoy 'eq jIvemDI'.»
47,"What changes the world is communication, not information.","qo' choH Qum'e', choHbe' De''e'."
48,"The past can only be known, not changed. The future can only be changed, not known.","ret DaSovlaH neH, 'ach DachoHlaHbe'. pIq DachoHlaH neH, 'ach DaSovlaHbe'."
49,I'm undressing.,jItuQHa'moHlI'.
50,The car crashed into the wall.,reD ngeQpu' puH Duj.
51,That was the best day of my life.,yInwIj jaj nIvqu' 'oH.
52,That was the best day of my life.,yInwIj jaj'e' jajvetlh QaQ law' Hoch QaQ puS.
53,You are the great love of my life.,yInwIj bong'a' SoH.
54,"Don't worry, be happy!","yISaHQo', yIQuch!"
55,"Don't worry, be happy!","peSaHQo', peQuch!"
56,It's cold.,bIr.
57,"Could you call again later, please?",SIbI'Ha' jurI'qa'laH'a'?
58,Have you ever eaten a banana pie?,banan naH chab DaSopta''a'?
59,It's over between us. Give me back my ring!,QebwIj HInobHa'! bIQ'a'Daq 'oHtaH 'etlh'e'!
60,It is raining.,SIS.
61,"She's really smart, isn't she?",valqu' qar'a'?
62,"Tomorrow, I'm going to study at the library.",wa'leS paqghomDaq jIHaD.
63,I read a book while eating.,jISoptaHvIS paq vIlaD.
64,I read a book while eating.,paq vIlaDtaH jISoptaHvIS.
65,How many times a day do you look at yourself in the mirror?,qaStaHvIS wa' jaj 'arlogh SIla'Daq jIbej'egh?
66,Most people only want to hear their own truth.,vItchaj Qoy neH nuvpu' HochHom.
67,Classes are starting again soon.,tugh taghqa' paQDI'norgh.
68,It's all dark outside.,Hueghchu'taH Hur.
69,You're sick. You have to rest.,bIrop. bIleSnIS.
70,Where is the bathroom?,nuqDaq 'oH puchpa''e'?
71,His story was too ridiculous for anyone to believe.,lutDaj HarlaH pagh tlhoy Doghmo'.
72,Do you think mankind will someday colonize the Moon?,wa' jaj tera' maSDaq mID lucher Humanpu' 'e' DaHar'a'?
73,Why can't we tickle ourselves?,qatlh qotlh'eghlaHbe' vay'?
74,What?! You ate my chocolate bear?!,nuqjatlh? yuch mIl'oDwIj DaSopta'?!
75,Where are you?,nuqDaq SoHtaH?
76,Where are you?,nuqDaq tlhIHtaH?
77,I usually take a shower in the evening.,Hoch ram choS motlh bIQ ghaywI' pa'Daq jISay''eghmoH.
78,Good night. Sweet dreams.,maj ram! bInajtaHvIS qeylIS Daghomjaj!
79,Good night. Sweet dreams.,maj ram. bInajtaHvIS qeylIS Daghomjaj.
80,That way I kill two birds with one stone.,vaj cha' bo'Deghmey vIHoHmeH wa' nagh neH vIlo'nIS.
81,I would like batteries for this device.,janvamvaD 'ul 'aplo'mey vIneH.
82,Can I pay by credit card?,jIDIlmeH Huch chaw' vIlo'laH'a'?
83,I need your advice.,qeSlIj vIpoQ.
84,I knew it was plastic but it tasted like wood.,mep 'oH 'e' vISov 'ach Sor Hap wejwa' rur wejwa'Daj.
85,I love trips.,lengmey vImuSHa'.
86,I don't care.,jISaHbe'.
87,Fifty-two per cent of British women prefer chocolate to sex.,"yuch nga'chuqghach je qelDI', yuch lumaS vaghmaH cha' vatlhvI' tuqjIjQa' be'pu'."
88,To be quiet in class is to respect other people's sleep.,wa' nuv QongtaHghach vuv latlh nuv tamtaHghach.
89,All cats are grey in the dark.,"Hurghchugh Daq, qIj 'ej chIS Hoch vIghro'."
90,There's no doubt.,Honlu'be'.
91,He's a good person.,nuv QaQ ghaH.
92,No love is foul nor prison fair.,moH pagh parmaq 'ej 'IH pagh bIghHa'.
93,You can't get lost in big cities; there are maps everywhere!,veng'a'Daq lengHa'laHlu'be'. Dat pu'jInmey tu'lu'!
94,"If you eat too much, you'll become fat.",tlhoy DaSopchugh bIpI'choH.
95,"If you eat too much, you'll become fat.",tlhoy DaSopchugh bIrorchoH.
96,This knife was very useful to me.,jIHvaD lI'qu'pu' tajvam.
97,How much is it?,Dochvetlh DIlmeH Huch 'ar DaneH?
98,You arrived at the moment I left.,jImejDI' bIpaw.
99,Who is coming with me?,mutlhej 'Iv?
100,You need not telephone me.,chorI'nISbe'.
101,We have to take him to the hospital immediately; he is seriously injured!,SIbI' ropyaH qachDaq ghaH wIlupnIS! rIQtaH 'ej pavtaH!
102,You don't have to come tomorrow.,wa'leS bIjeS net poQbe'.
103,You don't have to come tomorrow.,wa'leS SujeS net poQbe'.
104,It happened a long time ago.,ben law' qaS.
105,"Could you turn on the light, please?",wovmoHwI' Dachu'laHneS'a'?
106,I can't believe my eyes.,mInDu'wIj vIHarlaHbe'.
107,During winter I sleep with two blankets.,"qaStaHvIS poH bIr, jIQongtaHvIS cha' tlhImmey vIlo'."
108,Can you keep a secret?,bIpeghlaH'a'?
109,"You are tired, aren't you?",bIDoy' qar'a'?
110,You must pay attention to him.,ghaH DabuSnIS.
111,You should tell him the truth.,ghaHvaD jIvItnIS.
112,Do you think he made that mistake on purpose?,chIch Qaghpu' ghaH 'e' DaQab'a'?
113,Didn't you know that he passed away two years ago?,cha' ben Heghpu' 'e' DaSovbe''a'?
114,Can you ride a horse?,Sargh DalIghlaH'a'?
115,You know the answer?,bIjanglaH'a'?
116,It is necessary for you to see a doctor at once.,SIbI' Qel DaghomnIS.
117,You ought to be ashamed.,bItuHjaj!
118,Who are you waiting for?,'Iv DaloSlI'?
119,I'm proud of you.,SoHmo' jIHem.
120,I'm proud of you.,tlhIHmo' jIHem.
121,You are to apologize to her for it.,'oHmo' ghaHvaD bItlhIjnIS.
122,"You may be right, but I am against your opinion.","chaq bIlugh, 'ach vuDlIj vIQoch."
123,You should apologize.,bItlhIjnIS.
124,You should look after the children from time to time.,rut puqpu' boQorghnIS.
125,Why were you absent yesterday?,wa'Hu' qatlh bIDach?
126,You worked a lot this week.,Hoghvam bIvumqu'.
127,You were careless in your action.,bIvangDI' bIyepHa'.
128,You made a wise choice.,bIwIvchu'.
129,"You have cleaned your shoes, haven't you?",waqmeylIj DaSay'moHta' qar'a'?
130,Where are you going to spend the vacation?,nuqDaq bIghIQ 'e' Danab?
131,You may go anywhere.,vogh DajaHlaH.
132,What are you looking for?,nuq DanejtaH?
133,What woke you up?,DuvemmoHpu' nuq?
134,What do you want now?,DaH nuqneH?
135,You dropped your pencil.,ghojmeH ghItlhwI'lIj Dachaghpu'.
136,Do you have any pencils?,ghojmeH ghItlhwI'mey Daghaj'a'?
137,You'll never be alone.,not bImob.
138,You'll never be alone.,not Sumob.
139,You nearly poked me in the eye with your pencil.,tlhoS mInwIj DuQpu' ghojmeH ghItlhwI' Dalo'taHbogh!
140,"If you read this book again, you will have read it three times.","paqvam DalaDqa'chugh, wejlogh DalaDnISbej."
141,Can you speak French?,vIraS Hol DajatlhlaH'a'?
142,Why did you use up all the money?,qatlh Hoch Huch Danatlh?
143,How tall are you?,'uj 'ar Da'ab?
144,You are very brave.,bIyoHqu'.
145,What are you doing?,nuq Data'taH?
146,What are you doing?,nuq bota'taH.
147,All you have to do is to join us.,jumuvnIS neH.
148,You are to start at once.,SIbI' bItaghnIS. 'ut.
149,When did you finish it?,ghorgh Davanta'?
150,Did you cut the paper?,nav Dape'pu''a'?
151,"You aren't a spy, are you?",ghoqwI' SoHbe' qar'a'?
152,You must put these mistakes right.,Qaghmeyvam DaqarmoHnIS.
153,Have you read this book already?,paqvam DalaDta''a'?
154,"You'll have this composition written by noon tomorrow, won't you?",wa'leS DungluQ ghItlhvam Daqonta' qar'a'?
155,You've drunk three cups of coffee.,wej qa'vIn HIvje'mey Datlhutlhta'.
156,You have some books.,'op paq Daghaj.
157,You've given me good advice.,choqeSchu'pu'.
158,You'll be able to drive a car in a few days.,leS puS puH Duj DachIjlaH.
159,"Assuming your story is true, what should I do?","teHchugh lutlIj, chay' jIvangnIS?"
160,Omit needless words!,'utbe'bogh mu'mey tInop!
161,I admire your courage.,toDujlIj vIHo'.
162,I forget your phone number.,ghogh HablI'lIj mI' vIqawbe'.
163,I forget your telephone number.,ghogh HablI'lIj mI' vIlIj.
164,Go back to your seat.,quSlIj yIchegh!
165,I don't for a moment doubt your honesty.,bIyuDHa' 'e' vIHonbe'chu'.
166,I read your new book with real delight.,paqlIj chu' vIlaD 'ej vItIvqu'.
167,I don't need your help.,QaHlIj vIwuvbe'.
168,I received your letter yesterday.,wa'Hu' QInlIj vIHev.
169,Your letter made me happy.,muQuchmoHpu' QInlIj.
170,Are your hands clean?,lamHa''a' ghopDu'lIj?
171,May I borrow your dictionary?,mu'ghomlIj vIngIplaH'a'?
172,Your watch is more expensive than mine.,tlhaqlIj wagh law' tlhaqwIj wagh puS.
173,Do you eat rice in your country?,SeplIjDaq ray' tIr Soplu''a'?
174,Your action has offended his dignity.,nurDaj mawpu' ta'lIj.
175,Your ideas are different from mine.,pIm qechmeylIj qechmeywIj je.
176,Your plan seems better than mine.,nablIj QaQ law'law' nabwIj QaQ puSlaw'.
177,Where is your school?,nuqDaq 'oH DuSaQraj'e'?
178,Can I use your pencil?,ghojmeH ghItlhwI'lIj vIlo' 'e' Dachaw''a'?
179,Your pencils need sharpening.,ghojmeH ghItlhwI'meylIj jejmoH vay' net poQ.
180,Your pencils need sharpening.,ghojmeH ghItlhwI'mey DajejnISmoH.
181,I blush for your mistake.,QaghlIjmo' Doqqu'choH qabwIj.
182,Your pen is better than mine.,ghItlhwI'lIj QaQ law' ghItlhwI'wIj QaQ puS.
183,I'd do any damn thing for you.,SoHvaD vay' vIta'qang jay'!
184,I respect you for what you have done.,ta'meylIjmo' qavuv.
185,Is this your glass or your sister's?,HIvje'lIj 'oH pagh be'nI'lI' HIvje' 'oH?
186,Is your uncle still abroad?,Sep novDaq ghaHtaH'a' tennuSnalwI''e'?
187,Your chair is identical to mine.,nIb quSwIj quSlIj'e' je.
188,Your T-shirt will dry soon.,tugh QaD yIvbeHlIj.
189,I'll tell you how to swim.,QalmeH mIw qaghojmoH
190,I can't lie to you.,SoHvaD jIneplaHbe'.
191,I can't hide the fact from you.,SoHvo' ngoD vISo'Qo'.
192,I would prefer to speak to you in private.,maja'chuqtaHvIS mamob 'e' vImaS.
193,You are young boys.,loDHom Qup tlhIH.
194,Are you students at this school?,DuSaQvam ghojwI'pu' tlhIH'a'?
195,"I think I might join you, but I haven't decided yet.",chaq qamuv 'ach wej jIwuqta'.
196,"I think I might join you, but I haven't decided yet.",chaq Samuv 'ach wej jIwuqta'.
197,I need you.,qaghajnIS.
198,I sincerely hope that you will soon recover from your illness.,tigh bIropHa'choH 'e' vItulqu'!
199,Your o's look like a's.,'atmey rur 'otmeylIj'e'.
200,A time will come when you will regret your action.,'opleS ta'lIj Dapay.
201,I wish you could come with us.,jutlhejlaH vIneH.
202,I wish you could come with us.,chetlhejlaH vIneH.
203,Nothing is so tasty as the dish you make.,nay' Davutbogh 'ey law' Hoch 'ey puS.
204,What you've done is profitable only to the enemy.,jaghvaD lI' neH ta'lIj.
205,A bear will not touch a dead body.,lom HotQo' mIl'oD.
206,How long does a bear sleep?,qaStaHvIS poH 'ar QongtaH mIl'oD?
207,"Take off your socks, please.",paSloghlIj yItuQmoHHa'neS.
208,"Judging from the look of the sky, it is going to snow.",DaHjaj peDtaH 'e' vInoH chal vIleghDI'.
209,I prefer a hotel by the airport.,muD Duj verghDaq Sum mebpa'mey vIDabbogh 'e' vImaS.
210,Without air there can be no wind or sound on the moon.,"muD Hutlhmo' tera' maS, pa' DuHbe' SuS wab je."
211,The sky is blue.,SuD chal.
212,The sky is clear and the sun is bright.,Huv chal 'ej wov jul.
213,I want a few empty glasses.,'op HIvje' chIm vIneH.
214,I saw something strange in the sky.,chalDaq vay' Huj vIlegh.
215,The sun is shining in the sky.,chalDaq wovtaH jul.
216,There isn't a single cloud in the sky.,chalDaq pagh 'eng tu'lu'.
217,Birds were singing in the sky.,chalDaq bomtaH bo'Deghmey.
218,The sky has brightened.,wovchoHpu' chal.
219,Stop grumbling.,'I'SeghIm yIDaQo'!
220,It's so painful. Stop it!,'oy'qu'. mevyap!
221,Take a short cut.,qIgh yIghoS!
222,Can we get to the moon in the near future?,tugh maS wIjaHlaH'a'?
223,We'll meet some time soon.,tugh wIghomchuq.
224,My muscles have become soft.,tunchoHpu' SomrawDu'wIj.
225,"To my surprise, he had a beautiful voice.",mumerpu' ghoghDaj 'eymo'.
226,Are you mad?,bIQeH'a'?
227,Bridges are burning and chances are few.,meQtaH QImey 'ej puS 'ebmey.
228,The bridge is being repainted.,QI nguvmoHlu'lI'.
229,The bridge is being repaired.,meH tI'lu'lI'.
230,There is a cottage beyond the bridge.,QI 'emDaq juHHom tu'lu'.
231,Teachers must understand children.,puqpu' yajnIS ghojmoHwI'pu'.
232,The teacher had to evaluate all the students.,ghojwI'pu' chovnIS ghojmoHwI'.
233,You should be respectful to your teachers.,ghojmoHwI'pu'lI' tIvuv!
234,The instructor advised me to get exercise every day.,Hoch jaj jImI' 'e' chup ghojmoHwI'.
235,Would you please open the window?,Qorwagh yIpoSmoHneS!
236,Don't be afraid.,yIHajQo'!
237,The society was founded in 1990.,DIS 1990 yej'an cherlu'.
238,A fish can swim.,QallaH ghotI'.
239,You mustn't enter this room without permission.,chaw' Danoblu'be'chugh pa'vam Da'elbe'nIS.
240,A gigantic bird came flying toward him.,ghaHDaq ghoStaH puvtaHbogh bo'Degh tInqu'.
241,Milk is a popular beverage.,Soj Qat 'oH nIm'e'.
242,Milk is a good beverage.,Soj QaQ 'oH nIm'e'.
243,The milk turned sour.,wIbchoH nIm.
244,"You must buy milk, eggs, butter, and so on.","nIm, QImmey, nIm tlhagh, latlh je Daje'nIS."
245,There is nothing that does not decay.,raghbe' pagh.
246,Do you need an ambulance?,chach Duj DapoQ'a'?
247,A sudden illness prevented him from going there.,pay' ropchoHpu'mo' pa' jaHlaHbe'.
248,"Hurry up, or you'll miss the bus.",bImoDbe'chugh lupwI' DatIjlaHbe'.
249,I hurried and managed to catch the bus.,jImoDta' 'ej lupwI' vItIjta' tlheDpa'.
250,Are you in a hurry?,bImoD'a'?
251,He stayed there during the vacation.,pa' ghaHtaH ghIQtaHvIS.
252,Enjoy your vacation.,bIghIQtaH 'e' DatIvjaj!
253,Who is absent?,DachtaH 'Iv?
254,I did nothing during the holidays.,qaStaHvIS yupma' pagh vIta'.
255,The house which stands on the hill is very old.,ngo'qu' HuDDaq 'oHbogh qach'e'.
256,There is a house on the hill.,HuDDaq qach tu'lu'.
257,Don't forget the fact that smoking is bad for your health.,tlhIch DapurDI' bIpIvHa'choH. ngoDvam yIlIjQo'!
258,He is second to none when it comes to debating.,ngechwI''e' ghaH Dun law' Hoch Dun puS.
259,Discussion is based upon mutual respect.,ja'chuqghach DuHmoH vuvchuqghach.
260,Engineers are crazy about solar energy.,jonwI'pu' Seyqu'moH jul HoS.
261,What is done cannot be undone.,ta' ta'lu'pu'bogh ta'Ha'laH pagh.
262,You are beautiful.,bI'IH.
263,You study English.,DIvI' Hol DaHaDtaH.
264,A good memory is his weapon.,nuHDaj 'oH qawlaHghachDaj QaQ'e'.
265,What's the temperature?,Hat yIper!
266,Look out! There's a car coming.,yIqIm! SumchoHtaH puH Duj!
267,I met nobody on my way home.,juH vIcheghtaHvIS pagh vIghom.
268,Press this button to start the machine.,jo' Dachu'meH chu'wI'vam yI'uy!
269,The money on the desk is not mine.,HuchwIj 'oHbe' raSDaq 'oHbogh Huch'e'.
270,There is a pair of scissors on the desk.,raSDaq cha''etlh pe'wI' tu'lu'.
271,"Strange as it is, the story is true.","Huj, teH lutvetlh."
272,Strange things happened on her birthday.,qaSDI' qoSDaj qaS Dochmey Huj.
273,I'll be glad to help him.,ghaH vIQaHjaj.
274,I'm willing to help him.,ghaH vIQaHjaj.
275,"The more danger, the more honor.","ghurDI' Qob, ghur quv."
276,Wash up.,yISay''eghmoH!
277,I'm afraid I took your umbrella by mistake.,Do'Ha' bong SIS yoDlIj vItlhap.
278,He left his team as he could not get along with the manager.,"ghom muvHa'ta', jIjlaHbe'mo' ghaH vu'wI' je."
279,I want something sweet.,na'ran rurbogh vay''e' vIneH.
280,"Even though I felt that there was something strange, I just didn't know what it was.",Huj vay' 'e' vISovtaH 'ach HujwI' vIngu'laHbe'taH.
281,I have yet to find a perfect husband.,wej loDnal pup vISamta'.
282,Don't you feel cold?,bIbIrbe''a'?
283,It was so cold I clung to the blanket all day.,bIrqu'taHmo' tlhIm vI'uchtaH qaStaHvIS jaj naQ.
284,It's cold. It was foolish of you not to bring your coat.,bIrtaH. weplIj Daqempu'be' 'e' DawuqDI' bIDogh.
285,It's cold so you should wear a coat.,bIr. vaj weplIj yItuQmoH.
286,I'm looking for batteries.,'ul 'aplo'mey vInejlI'.
287,Do you play a musical instrument?,QoQ jan Dachu''a'?
288,Enjoy yourself!,yItIv'egh!
289,A student spends a lot of time studying.,HaDmeH poHDaj law' natlh HaDwI'.
290,Half of the students are absent.,Dach bID HaDwI'pu'.
291,Half of the students are absent.,Dach bID ghojwI'pu'.
292,A majority of students dislike history.,qun muS HaDwI'pu' 'ay''a'.
293,The students assembled in the classroom.,DuSaQ pa'Daq ghom ghojwI'pu'.
294,I met her on my way to school.,DuSaQ vIghoStaHvIS ghaH vIghom.
295,Go to school.,DuSaQ yIjaH!
296,The learned are apt to despise the ignorant.,roD jIvwI' par SovwI'.
297,The revolutionary council met to plan strategy.,Dup nabmeH ghom Daw' rIp.
298,Please put a lump of sugar in my coffee.,qa'vInwIjDaq wa' Su'ghar qut ngogh yIlan.
299,"No doubt he did his best, but he didn't succeed.",nIDqu'bej 'ach Qapbe'.
300,Each country has its own customs.,tIghmeyDaj ghaj Hoch Sep.
301,"Generally speaking, Americans are very fond of coffee.",roD qa'vIn luparHa'qu' 'amerI'qa' SepjIjQa'ngan.
302,"Cover your mouth when you cough, sneeze, or yawn.","bItuStaHvIS, bIchuytaHvIS pagh bIHobtaHvIS nujlIj yISo'!"
303,You must have a lot of patience to learn foreign languages.,Holmey nov DaghojmeH bItuvqu'nIS.
304,It's difficult to learn a foreign language.,Hol nov ghojlu'taHvIS Qatlh.
305,Do you have any foreign stamps?,HIjmeH chaw'mey nov Daghaj'a'?
306,It is cold outdoors. Put on your coat.,HurDaq bIrtaH. weplIj yItuQmoH.
307,Come inside because it's cold outside.,bIrtaH Hur. qoD yIjaH!
308,Look at the picture.,mIlloghvam yIbej!
309,I hope you are all well.,bIpIvtaH 'e' vItul.
310,He met his friend while bathing in the sea.,bIQ'a'Daq HaH'eghtaHvIS jupDaj qIHpu'.
311,He met his friend while bathing in the sea.,bIQ'a'Daq HaH'eghtaHvIS jupDaj ghompu'.
312,A variety of creatures can be seen under the water.,bIQDaq Ha'DIbaHmey Sar leghlaH vay'.
313,Turtles live to a great age.,Heghpa' la'SIvmey qanqu'choH.
314,We're on our way home.,juH wIcheghlI'.
315,Cover up the injured man with this blanket.,rIQtaHbogh loD velmeH tlhImvam yIlo'!
316,Some people pursue only pleasure.,bel neH luchav luneH 'op.
317,The clock that got broken must be repaired right away.,tlhaq ghorlu'pu' 'ej SIbI' tI'ta' net poQ.
318,The company abandoned that project.,jInmolvetlh lonpu' DIvI'.
319,I suggested that we bring the meeting to an end.,qep wIvan 'e' vIchupta'.
320,The meeting ended at three in the afternoon.,rep wa'maH vagh qep vanlu'.
321,The meeting was canceled.,qep qIllu'.
322,The meeting will begin at 6:00 and dinner will be served at 7:00.,taghDI' qep wa'maH chorghlogh Qoylu'pu' 'ej 'uQ jablu'DI' wa'maH Hutlogh Qoylu'pu'.
323,Few people attended the meeting.,qep jeSta' nuvpu' puS.
324,We must help him immediately.,SIbI' wIQaH! 'ut!
325,We can rely on his judgement.,yojDaj wIwuvlaH.
326,We were shocked at the news of his death.,Heghpu' ghaH 'e' wIghojDI' mayay'.
327,We will explore every planet that goes around the sun.,jul bavbogh ngIq yuQ DIHaD.
328,We named my son after my grandfather.,puqloDwI'vaD wIpongmeH vavwI' pong wIlo'.
329,We cleared a path through the woods.,ngem veghmeH He Huv wIchenmoH.
330,We abandoned the project because of a lack of funds.,jInmol wIlonpu' Huch wIHutlh.
331,We abandoned the project because of a lack of funds.,Huch wIHutlhtaHmo' jInmol wIghangpu'.
332,We yawn when we are short of oxygen.,yInSIp yap wIHutlhDI' maHob.
333,We had to abandon our plan.,nabmaj wIlonnISpu'.
334,We were talking to each other all the time.,reH maja'chuq.
335,We insist that this project be carried out immediately.,SIbI' jInmolvam ta'choHlu' 'e' wIqap.
336,All our things were turned upside down.,Hoch Dochmeymaj luyoymoHlu'.
337,Our ancestors knew how to read the stars.,Hovmey laDlaH no'ma'.
338,Our world is only one small part of the universe.,'u' 'ay'Hom neH 'oH qo'maj'e'.
339,"After our first attack, the enemy fled.",wa'DIch maHIvchoHta'DI' Haw' jagh.
340,Our factories are working at full capacity.,Qapchu'taH laSvarghmeymaj.
341,"Completely surrounded by our troops, the enemy finally surrendered to us.",jagh Dechchu'DI' QaSmaj tagha' jegh.
342,Nothing bars our way.,Hemaj bot pagh.
343,The day will soon come when we will conquer space and travel to the moon.,wa' jaj logh wIchargh 'ej maS wIjaH. tugh qaS jajvam'e'.
344,There is a small garden in front of my house.,juH tlhopDaq Du'Hom mach tu'lu'.
345,He who makes no mistakes makes nothing.,vangbe' Qaghbe'wI'.
346,I filled a vase with water.,chal bal vItebmeH bIQ vIlo'.
347,The bride looked very beautiful.,'IHqu' naywI'.
348,Four families were killed in the fire.,loS qorDu' HoHpu' qulvam.
349,Don't forget to put out the fire.,qul DachenHa'moH 'e' yIlIjQo'!
350,Fire is very dangerous.,Qobqu' qul.
351,Let's sing and dance.,Ha'! mabom 'ej mamI'!
352,Do you like singing?,bIbom 'e' DaparHa''a'?
353,Scientists can easily compute the distance between planets.,yuQmey joj chuq luSImlaHchu' tejpu'.
354,Science can be dangerous when applied carelessly.,QeD lo'lu'chugh 'ej yepHa'chugh QoblaH QeD.
355,My wife is preparing dinner right now.,DaH 'uQ vutlI' be'nalwI'.
356,"Before you leave home, make sure your pets have enough food.","juHvo' bImejpa', yap SajmeylIj Soj 'e' yISovbej!"
357,I'll give you a call when I get home.,juHwIjDaq jIpawDI' qarI'.
358,"On my way home, I met him.",juH vIcheghtaHvIS ghaH vIghom.
359,I have spent a lot of money on my house.,juHwIj vIDIlmeH Huch law' vIlo'pu'.
360,Several houses were carried away by the great flood.,'op qachmey teqpu' SoD'a'.
361,How long will it take?,ghorgh rInpu'?
362,I've seen one many times.,pIj wa' Daleghpu'.
363,No one can be more wise than destiny.,San val law' Hoch val puS.
364,How many people?,nuv 'ar?
365,How many people?,ghot 'ar?
366,What time did you eat?,bISopDI' 'arlogh Qoylu'pu'?
367,What time shall I pick you up?,ghorgh DaDorchoH DaneH?
368,When will you come home?,ghorgh juH Dachegh?
369,Some of the birds didn't fly.,puvbe' 'op bo'Deghmey.
370,Some of the birds didn't fly.,puvbe'pu' 'op bo'Deghmey.
371,What did you buy?,nuq Daje'ta'?
372,What are you reading?,nuq DaleghtaH?
373,What are you cross about?,qatlh bIberghtaH?
374,What was stolen?,nuq nIHlu'ta'?
375,What're you waiting for?,nuq DaloSlI'?
376,What're you waiting for?,qatlh bIloS?
377,What are you laughing at?,qatlh bIHaghtaH?
378,What did you make?,nuq DachenmoHta'?
379,What are you thinking about?,nuq DaqeltaH?
380,What are you going to see?,nuq Dalegh 'e' DaHechtaH?
381,What will you have to drink?,nuq Datlhutlh DaneH?
382,It is no use your pretending that you know nothing.,"pagh DaSov 'e' DaghetDI', pagh Dachav."
383,"He exclaimed, ""What a dirty face you have!""",jatlh «lamqu' qablIj!»
384,She managed to learn to drive a car.,puH Duj chIjlaHmeH ghojta' ghaH.
385,Do something!,yIvang!
386,Will you manage to repair my car?,puH DujwIj DatI'laH'a'?
387,I'll do anything.,vay' vIta'qang.
388,What's my book doing here?,qatlh naDev 'oHtaH paqwIj'e'?
389,May I have something hot to drink?,vay' tuj vItlhutlhlaH'a'?
390,Is there any fresh news?,De' ghoQ tu'lu''a'?
391,Is there any fresh news?,De' chu'qu' tu'lu''a'?
392,Bring me something to eat.,vay' vISoplaHbogh yIqem.
393,I'd like something to eat.,vay' vISop vIneH.
394,Do you have any questions?,Sughel boneH'a'?
395,Do you have a plan?,nab Daghaj'a'?
396,What's going on?,qaS nuq?
397,Can you play any musical instruments?,QoQ jan Dachu'laH'a'?
398,Has anything strange happened?,qaSpu''a' wanI' Huj?
399,Anything new?,De' chu' tu'lu''a'?
400,He is a mean fellow.,loD qej ghaH.
401,We shipped the following to you last week.,wa' Hogh ret SoHvaD tepvam wIngeH.
402,I came to this country for the purpose of studying music.,Sepvam vI'elta' QoQ vIHaDmeH.
403,I want to eat warm soup.,chatlh ghun vI'ep vIneH.
404,Let's eat while the food is warm.,ghuntaHvIS Soj maSopjaj!
405,I'm a free man.,loD tlhab jIH.
406,Was I wrong?,jIlughbe''a'?
407,Was I wrong?,bIQ ngaS'a' HIvje'wIj?
408,I'm a hero.,Sub jIH.
409,Leave me alone!,HI'uchHa'!
